"No.","Time","Source","Destination","Protocol","Length","Info"
"99","38.801730","192.168.0.2","84.196.158.177","TCP","66","23  >  39582 [ACK] Seq=31 Ack=28 Win=28960 Len=0 TSval=32476 TSecr=9207593"
"100","38.803466","192.168.0.2","84.196.158.177","TELNET","72","Telnet Data ..."
"101","38.929082","192.168.0.2","37.115.148.29","TELNET","98","Telnet Data ..."
"102","38.944228","84.196.158.177","192.168.0.2","TCP","66","39582  >  23 [ACK] Seq=28 Ack=37 Win=5840 Len=0 TSval=9207627 TSecr=32476"
"103","38.944728","192.168.0.2","84.196.158.177","TELNET","76","Telnet Data ..."
"104","39.042394","84.196.158.177","192.168.0.2","TCP","66","39582  >  23 [ACK] Seq=28 Ack=47 Win=5840 Len=0 TSval=9207653 TSecr=32490"
"105","39.045153","84.196.158.177","192.168.0.2","TELNET","71","Telnet Data ..."
"106","39.054427","37.115.148.29","192.168.0.2","TCP","66","45019  >  23 [ACK] Seq=40 Ack=82 Win=5840 Len=0 TSval=29180094 TSecr=32489"
"107","39.054522","37.115.148.29","192.168.0.2","TELNET","73","Telnet Data ..."
"108","39.056666","192.168.0.2","37.115.148.29","TELNET","72","Telnet Data ..."
"109","39.085073","192.168.0.2","84.196.158.177","TCP","66","23  >  39582 [ACK] Seq=47 Ack=33 Win=28960 Len=0 TSval=32505 TSecr=9207653"
"110","39.181801","37.115.148.29","192.168.0.2","TELNET","68","Telnet Data ..."
"111","39.185185","84.196.158.177","192.168.0.2","TELNET","68","Telnet Data ..."
"112","39.187247","192.168.0.2","37.115.148.29","TELNET","78","Telnet Data ..."
"113","39.187840","192.168.0.2","84.196.158.177","TCP","66","23  >  39582 [ACK] Seq=47 Ack=35 Win=28960 Len=0 TSval=32515 TSecr=9207687"
"114","39.195217","192.168.0.2","84.196.158.177","TELNET","68","Telnet Data ..."
"115","39.312599","37.115.148.29","192.168.0.2","TELNET","73","Telnet Data ..."
"116","39.333201","84.196.158.177","192.168.0.2","TCP","66","39582  >  23 [ACK] Seq=35 Ack=49 Win=5840 Len=0 TSval=9207725 TSecr=32516"
"117","39.345074","192.168.0.2","37.115.148.29","TCP","66","23  >  45019 [ACK] Seq=100 Ack=56 Win=28960 Len=0 TSval=32531 TSecr=29180158"
"118","39.483645","37.115.148.29","192.168.0.2","TELNET","68","Telnet Data ..."
"119","39.484156","192.168.0.2","37.115.148.29","TCP","66","23  >  45019 [ACK] Seq=100 Ack=58 Win=28960 Len=0 TSval=32544 TSecr=29180201"
"120","39.486158","192.168.0.2","37.115.148.29","TELNET","68","Telnet Data ..."
"121","39.660786","37.115.148.29","192.168.0.2","TCP","66","45019  >  23 [ACK] Seq=58 Ack=102 Win=5840 Len=0 TSval=29180246 TSecr=32545"
"122","42.198937","192.168.0.2","84.196.158.177","TELNET","83","Telnet Data ..."
